description,ghg_category,scenario,industry,item_type,amount,language
Cold storage rental (9889 cbm) for quarterly,1,logistics,Logistics,Warehousing,1922424.87,en
delivery trucks acquisition (industrial grade),2,equipment,Transportation,Vehicle,9863909.24,en
consumer goods manufacturing line (5643 units/day capacity),2,equipment,Manufacturing,Production Line,41723599.45,en
Construction of distribution center (40253 sqm),2,equipment,Real Estate,Building,450810901.48,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,815597.88,en
warehouse building contract (headquarters),2,equipment,Real Estate,Building,162105537.5,en
Logistics service for cross-border corridor (annual),1,logistics,Logistics,Freight,2387987.1,en
Purchase of ethanol solvent - 8343 liters,1,raw_materials,Manufacturing,Chemical,804887.41,en
Solar panel installation (2946 kW capacity),2,equipment,Energy,Power Generation,30994151.21,en
Engagement of legal consultant (10 months),1,services,Professional Services,Consulting,1833745.29,en
conveyor system procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,6243354.16,en
Contract for 5761 shipments via management,1,logistics,Logistics,Freight,2279156.04,en
Warehouse storage service (1537 sqm for 12 months),1,logistics,Logistics,Warehousing,2206494.95,en
forklifts acquisition (industrial grade),2,equipment,Transportation,Vehicle,6249500.49,en
manufacturing plant building contract (factory),2,equipment,Real Estate,Building,269610094.28,en
robotic arm procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,3921557.64,en
Logistics service for cross-border corridor (6 months),1,logistics,Logistics,Freight,3175635.75,en
IT infrastructure upgrade - conveyor system (9738 units),2,equipment,IT Infrastructure,Hardware,1669307.1,en
Renewable energy facility construction (9519 MW),2,equipment,Energy,Power Generation,129039404.09,en
Order 8599 capacitors for production batch,1,raw_materials,Electronics,Electronic Components,2576095.83,en
Purchase of 3302 units of microchips for assembly,1,raw_materials,Electronics,Electronic Components,1010582.41,en
PCB boards component procurement (1286 pcs),1,raw_materials,Electronics,Electronic Components,728308.68,en
Purchase of acetone solvent - 9917 liters,1,raw_materials,Manufacturing,Chemical,1385981.88,en
"Building management service (headquarters, 19 months)",1,services,Facility Management,Maintenance,401566.93,en
Purchase of 3167 tons of rice for food production,1,raw_materials,Food & Beverage,Agricultural,1672641.7,en
Procurement of aluminum alloy (7924 kg) for production line,1,raw_materials,Manufacturing,Metal,3444325.8,en
Cold storage rental (7136 cbm) for 12 months,1,logistics,Logistics,Warehousing,719446.21,en
Purchase of 7806 injection molding machine for data center,2,equipment,IT Infrastructure,Hardware,6592034.7,en
manufacturing plant building contract (factory),2,equipment,Real Estate,Building,258395372.77,en
consumer goods manufacturing line (4921 units/day capacity),2,equipment,Manufacturing,Production Line,50944840.07,en
management transportation service - East-West,1,logistics,Logistics,Freight,967254.16,en
Logistics service for cross-border corridor (annual),1,logistics,Logistics,Freight,2081372.25,en
Professional advisory service - financial,1,services,Professional Services,Consulting,161264.42,en
Facility maintenance service for annual,1,services,Facility Management,Maintenance,1217279.18,en
Industrial ethanol supply contract (1712 liters),1,raw_materials,Manufacturing,Chemical,247971.31,en
Analytics software subscription (1488 licenses for 6 months),1,services,IT Services,Software,185685.27,en
conveyor system acquisition - industrial grade,2,equipment,Manufacturing,Machinery,5850888.11,en
Professional advisory service - management,1,services,Professional Services,Consulting,1028624.24,en
manufacturing plant building contract (factory),2,equipment,Real Estate,Building,421126180.4,en
Purchase of 8712 tons of sugar for food production,1,raw_materials,Food & Beverage,Agricultural,767900.2,en
Logistics service for North-South corridor (6 months),1,logistics,Logistics,Freight,149900.77,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,1110724.87,en
Cold storage rental (2601 cbm) for annual,1,logistics,Logistics,Warehousing,653575.49,en
packaging machine procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,5158385.78,en
Procurement of steel sheets (823 kg) for production line,1,raw_materials,Manufacturing,Metal,1716145.14,en
Procurement of titanium (8499 kg) for production line,1,raw_materials,Manufacturing,Metal,443345.63,en
CNC machine power generation system - 3114 MW,2,equipment,Energy,Power Generation,130000879.23,en
Purchase of 232 kg of steel sheets for manufacturing use,1,raw_materials,Manufacturing,Metal,2407322.9,en
wheat ingredient procurement - 7796 tons,1,raw_materials,Food & Beverage,Agricultural,2601923.18,en
consumer goods manufacturing line (539 units/day capacity),2,equipment,Manufacturing,Production Line,10184067.45,en
Cold storage rental (8828 cbm) for 12 months,1,logistics,Logistics,Warehousing,659879.3,en
Fleet procurement - 5914 forklifts,2,equipment,Transportation,Vehicle,5985443.87,en
Order organic sugar (3228 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,1634060.22,en
wheat ingredient procurement - 8166 tons,1,raw_materials,Food & Beverage,Agricultural,2791114.6,en
Purchase of 397 units of capacitors for assembly,1,raw_materials,Electronics,Electronic Components,1440864.01,en
Engagement of sustainability consultant (20 months),1,services,Professional Services,Consulting,1441412.48,en
Purchase of 9630 tons of soybeans for food production,1,raw_materials,Food & Beverage,Agricultural,489852.7,en
Logistics service for North-South corridor (quarterly),1,logistics,Logistics,Freight,3545047.91,en
Professional advisory service - financial,1,services,Professional Services,Consulting,622878.9,en
consumer goods manufacturing line (578 units/day capacity),2,equipment,Manufacturing,Production Line,25405629.98,en
Purchase of 8584 kg of aluminum alloy for manufacturing use,1,raw_materials,Manufacturing,Metal,3985869.25,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,821713.45,en
sustainability transportation service - cross-border,1,logistics,Logistics,Freight,3580019.59,en
Engagement of management consultant (21 months),1,services,Professional Services,Consulting,1900669.89,en
Purchase of sulfuric acid solvent - 1676 liters,1,raw_materials,Manufacturing,Chemical,1201224.91,en
injection molding machine power generation system - 8141 MW,2,equipment,Energy,Power Generation,117566450.31,en
Industrial packaging machine (1170 units) with installation,2,equipment,Manufacturing,Machinery,9925290.76,en
delivery trucks acquisition (industrial grade),2,equipment,Transportation,Vehicle,5498411.25,en
Engagement of management consultant (20 months),1,services,Professional Services,Consulting,943182.92,en
Purchase of 3116 units of capacitors for assembly,1,raw_materials,Electronics,Electronic Components,5133774.04,en
soybeans ingredient procurement - 8248 tons,1,raw_materials,Food & Beverage,Agricultural,1908090.82,en
Cold storage rental (5623 cbm) for quarterly,1,logistics,Logistics,Warehousing,2767939.48,en
Warehouse storage service (4684 sqm for annual),1,logistics,Logistics,Warehousing,2011808.41,en
IT infrastructure upgrade - robotic arm (9884 units),2,equipment,IT Infrastructure,Hardware,3891457.2,en
Cold storage rental (9626 cbm) for quarterly,1,logistics,Logistics,Warehousing,300227.85,en
5493 liters of sulfuric acid for chemical processing,1,raw_materials,Manufacturing,Chemical,1301481.64,en
Purchase of 1529 packaging machine for data center,2,equipment,IT Infrastructure,Hardware,3073147.16,en
Purchase of 4579 units of LED modules for assembly,1,raw_materials,Electronics,Electronic Components,2848277.35,en
Order 856 kg of copper wire for QQ3 production,1,raw_materials,Manufacturing,Metal,3305549.48,en
Purchase of 5975 tons of sugar for food production,1,raw_materials,Food & Beverage,Agricultural,1925584.56,en
Complete electronics production line installation,2,equipment,Manufacturing,Production Line,67325511.06,en
Purchase of toluene solvent - 3856 liters,1,raw_materials,Manufacturing,Chemical,1878410.87,en
LED modules component procurement (2660 pcs),1,raw_materials,Electronics,Electronic Components,7408006.38,en
Monthly freight service for North-South distribution,1,logistics,Logistics,Freight,4841670.24,en
Warehouse storage service (7806 sqm for quarterly),1,logistics,Logistics,Warehousing,1961961.59,en
Industrial ethanol supply contract (6855 liters),1,raw_materials,Manufacturing,Chemical,904068.26,en
Automated assembly line for electronics,2,equipment,Manufacturing,Production Line,92916332.9,en
Purchase of 6494 packaging machine for data center,2,equipment,IT Infrastructure,Hardware,2656142.64,en
New manufacturing plant development project,2,equipment,Real Estate,Building,374220775.7,en
Facility maintenance service for 6 months,1,services,Facility Management,Maintenance,1442958.4,en
legal consulting services for 12 months,1,services,Professional Services,Consulting,1297660.12,en
wheat ingredient procurement - 8059 tons,1,raw_materials,Food & Beverage,Agricultural,355143.95,en
Monthly freight service for North-South distribution,1,logistics,Logistics,Freight,1469705.53,en
Purchase of 7777 kg of copper wire for manufacturing use,1,raw_materials,Manufacturing,Metal,1098863.18,en
CNC machine power generation system - 149 MW,2,equipment,Energy,Power Generation,198842361.11,en
Order 336 kg of aluminum alloy for QQ1 production,1,raw_materials,Manufacturing,Metal,3675057.23,en
Renewable energy facility construction (596 MW),2,equipment,Energy,Power Generation,17375686.02,en
Warehouse storage service (8634 sqm for quarterly),1,logistics,Logistics,Warehousing,2999930.21,en
sustainability consulting services for annual,1,services,Professional Services,Consulting,324476.18,en
Industrial injection molding machine (8908 units) with installation,2,equipment,Manufacturing,Machinery,17754560.35,en
New office building development project,2,equipment,Real Estate,Building,189229774.21,en
legal consulting services for quarterly,1,services,Professional Services,Consulting,1948679.68,en
Purchase of 2804 electric vans for logistics operations,2,equipment,Transportation,Vehicle,18045402.94,en
Order organic soybeans (3612 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,1721574.04,en
Engagement of management consultant (22 months),1,services,Professional Services,Consulting,360153.68,en
Analytics software subscription (563 licenses for quarterly),1,services,IT Services,Software,792987.41,en
7020 liters of toluene for chemical processing,1,raw_materials,Manufacturing,Chemical,606189.87,en
robotic arm procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,7332169.68,en
Purchase of ethanol solvent - 3448 liters,1,raw_materials,Manufacturing,Chemical,588806.22,en
conveyor system power generation system - 8791 MW,2,equipment,Energy,Power Generation,51033951.28,en
Facility maintenance service for 12 months,1,services,Facility Management,Maintenance,1072376.42,en
New manufacturing plant development project,2,equipment,Real Estate,Building,164144207.18,en
IT infrastructure upgrade - CNC machine (3627 units),2,equipment,IT Infrastructure,Hardware,1650521.53,en
distribution center building contract (branch),2,equipment,Real Estate,Building,58317213.71,en
SaaS subscription for Analytics (8574 users),1,services,IT Services,Software,562383.58,en
Industrial ethanol supply contract (4955 liters),1,raw_materials,Manufacturing,Chemical,1408146.63,en
Purchase of 589 tons of corn for food production,1,raw_materials,Food & Beverage,Agricultural,2414579.35,en
Purchase of 965 delivery trucks for logistics operations,2,equipment,Transportation,Vehicle,6332244.06,en
Order 3495 kg of titanium for QQ4 production,1,raw_materials,Manufacturing,Metal,4915681.44,en
SaaS subscription for CRM (2081 users),1,services,IT Services,Software,543894.69,en
Fleet procurement - 3752 delivery trucks,2,equipment,Transportation,Vehicle,18995535.5,en
7384 liters of acetone for chemical processing,1,raw_materials,Manufacturing,Chemical,1432867.76,en
IT infrastructure upgrade - injection molding machine (6961 units),2,equipment,IT Infrastructure,Hardware,9928382.03,en
Purchase of 7155 units of microchips for assembly,1,raw_materials,Electronics,Electronic Components,6736717.07,en
Warehouse storage service (5431 sqm for 12 months),1,logistics,Logistics,Warehousing,277739.29,en
Order organic rice (9866 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,855911.33,en
Order organic soybeans (4425 tons) from certified supplier,1,raw_materials,Food & Beverage,Agricultural,128446.87,en
Engagement of management consultant (36 months),1,services,Professional Services,Consulting,487743.7,en
Purchase of CNC machine for production facility,2,equipment,Manufacturing,Machinery,35011236.84,en
Construction of distribution center (41833 sqm),2,equipment,Real Estate,Building,312739265.58,en
Warehouse storage service (7858 sqm for quarterly),1,logistics,Logistics,Warehousing,501312.17,en
robotic arm acquisition - industrial grade,2,equipment,Manufacturing,Machinery,48228804.6,en
Industrial sulfuric acid supply contract (4131 liters),1,raw_materials,Manufacturing,Chemical,158791.01,en
IT infrastructure upgrade - conveyor system (5405 units),2,equipment,IT Infrastructure,Hardware,9343693.47,en
soybeans ingredient procurement - 7616 tons,1,raw_materials,Food & Beverage,Agricultural,308741.24,en
Third-party warehousing at factory - 9052 sqm,1,logistics,Logistics,Warehousing,1426834.11,en
Cloud financial service - annual contract,1,services,IT Services,Software,955760.58,en
8313 liters of acetone for chemical processing,1,raw_materials,Manufacturing,Chemical,1836471.98,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,1054896.37,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,638305.95,en
titanium raw material supply - 7837 kg,1,raw_materials,Manufacturing,Metal,2794784.44,en
IT transportation service - urban,1,logistics,Logistics,Freight,4813126.74,en
Automated assembly line for consumer goods,2,equipment,Manufacturing,Production Line,28812148.69,en
Order 3777 LED modules for production batch,1,raw_materials,Electronics,Electronic Components,4443093.76,en
Construction of distribution center (27813 sqm),2,equipment,Real Estate,Building,350644094.32,en
Construction of distribution center (12753 sqm),2,equipment,Real Estate,Building,139477401.7,en
Industrial packaging machine (6321 units) with installation,2,equipment,Manufacturing,Machinery,13811488.69,en
Contract for 2183 shipments via financial,1,logistics,Logistics,Freight,2623195.33,en
injection molding machine procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,6995678.11,en
wheat ingredient procurement - 235 tons,1,raw_materials,Food & Beverage,Agricultural,1872141.64,en
Cloud legal service - annual contract,1,services,IT Services,Software,821148.27,en
Cleaning and maintenance contract for office premises,1,services,Facility Management,Maintenance,641483.88,en
delivery trucks acquisition (industrial grade),2,equipment,Transportation,Vehicle,17094180.77,en
Engagement of sustainability consultant (6 months),1,services,Professional Services,Consulting,1626236.81,en
New office building development project,2,equipment,Real Estate,Building,281906564.59,en
Professional advisory service - IT,1,services,Professional Services,Consulting,1692074.93,en
SaaS subscription for ERP (9681 users),1,services,IT Services,Software,562439.69,en
delivery trucks acquisition (industrial grade),2,equipment,Transportation,Vehicle,6961935.7,en
Monthly freight service for urban distribution,1,logistics,Logistics,Freight,4269610.58,en
Complete consumer goods production line installation,2,equipment,Manufacturing,Production Line,8355305.46,en
Purchase of 2631 tons of sugar for food production,1,raw_materials,Food & Beverage,Agricultural,519958.42,en
distribution center building contract (factory),2,equipment,Real Estate,Building,483676448.97,en
Contract for 5675 shipments via management,1,logistics,Logistics,Freight,4689764.7,en
Solar panel installation (2386 kW capacity),2,equipment,Energy,Power Generation,46071681.04,en
robotic arm procurement (industrial grade),2,equipment,IT Infrastructure,Hardware,1193999.88,en
Automated assembly line for automotive parts,2,equipment,Manufacturing,Production Line,17583374.18,en
Contract for 8725 shipments via sustainability,1,logistics,Logistics,Freight,955191.42,en
Purchase of 8299 robotic arm for data center,2,equipment,IT Infrastructure,Hardware,5313118.12,en
capacitors component procurement (365 pcs),1,raw_materials,Electronics,Electronic Components,748862.39,en
Professional advisory service - IT,1,services,Professional Services,Consulting,419447.81,en
Engagement of management consultant (13 months),1,services,Professional Services,Consulting,1173887.09,en
sugar ingredient procurement - 3529 tons,1,raw_materials,Food & Beverage,Agricultural,2793658.54,en
Cloud sustainability service - 6 months contract,1,services,IT Services,Software,471807.84,en
Purchase of robotic arm for production facility,2,equipment,Manufacturing,Machinery,27131270.17,en
Collaboration software subscription (8751 licenses for quarterly),1,services,IT Services,Software,388190.87,en
Industrial acetone supply contract (8844 liters),1,raw_materials,Manufacturing,Chemical,581970.84,en
Monthly freight service for cross-border distribution,1,logistics,Logistics,Freight,3214285.28,en
Purchase of 4681 units of capacitors for assembly,1,raw_materials,Electronics,Electronic Components,53582.58,en
conveyor system power generation system - 2539 MW,2,equipment,Energy,Power Generation,76491161.94,en
IT infrastructure upgrade - conveyor system (2095 units),2,equipment,IT Infrastructure,Hardware,2259790.31,en
ERP software subscription (166 licenses for quarterly),1,services,IT Services,Software,972318.64,en
conveyor system acquisition - industrial grade,2,equipment,Manufacturing,Machinery,2682294.71,en
Third-party warehousing at regional office - 1400 sqm,1,logistics,Logistics,Warehousing,933576.68,en
Logistics service for cross-border corridor (6 months),1,logistics,Logistics,Freight,1383405.86,en
Fleet procurement - 2942 forklifts,2,equipment,Transportation,Vehicle,27136677.47,en
"Building management service (factory, 13 months)",1,services,Facility Management,Maintenance,584436.92,en
Order 9692 resistors for production batch,1,raw_materials,Electronics,Electronic Components,794766.46,en
