Scope 3 Category,ERP ID,Item Name,自動匹配係數,Spec/Grade,Qty,Unit,Total (TWD),Mapping Hint,lookup_keyword,lookup_factor_name,lookup_factor_value,lookup_factor_unit,match_status,match_mode,matched_tier,matched_tier_name,matched_name,matched_emission_factor,matched_unit,matched_source,matched_region,matched_base_year,matched_similarity,match_warning,candidate_count,query_text,source_type,source_sheet,calculated_co2e_kg,calculated_co2e_t,calculation_status,calculation_basis
Category 2 (Capital Goods),ASSET-10000,無塵室高效濾網組,未匹配，請手動確認,HEPA H14 Grade,5,set,2250000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.847657382488251,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,無塵室高效濾網組 HEPA H14 Grade machinery equipment capital goods,procurement_workbook,電子資通訊製造業,673.015219306746,0.673015219306746,已計算,"Total(TWD) 2,250,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10001,無塵室高效濾網組,0,HEPA H14 Grade,2,set,900000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.847657382488251,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,無塵室高效濾網組 HEPA H14 Grade machinery equipment capital goods,procurement_workbook,電子資通訊製造業,269.206087722698,0.269206087722698,已計算,"Total(TWD) 900,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10002,無塵室高效濾網組,0,HEPA H14 Grade,4,set,1800000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.847657382488251,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,無塵室高效濾網組 HEPA H14 Grade machinery equipment capital goods,procurement_workbook,電子資通訊製造業,538.412175445397,0.538412175445397,已計算,"Total(TWD) 1,800,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10003,SMT 自動化生產線,0,Yamaha YSM20R Series,4,set,48000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,14357.6580118773,14.3576580118773,已計算,"Total(TWD) 48,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10004,SMT 自動化生產線,0,Yamaha YSM20R Series,1,set,12000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,3589.41450296931,3.58941450296931,已計算,"Total(TWD) 12,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10005,SMT 自動化生產線,0,Yamaha YSM20R Series,1,set,12000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,3589.41450296931,3.58941450296931,已計算,"Total(TWD) 12,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10006,無塵室高效濾網組,0,HEPA H14 Grade,5,set,2250000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.847657382488251,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,無塵室高效濾網組 HEPA H14 Grade machinery equipment capital goods,procurement_workbook,電子資通訊製造業,673.015219306746,0.673015219306746,已計算,"Total(TWD) 2,250,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10007,SMT 自動化生產線,0,Yamaha YSM20R Series,3,set,36000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,10768.2435089079,10.7682435089079,已計算,"Total(TWD) 36,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10008,SMT 自動化生產線,0,Yamaha YSM20R Series,2,set,24000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,7178.82900593862,7.17882900593862,已計算,"Total(TWD) 24,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10009,SMT 自動化生產線,0,Yamaha YSM20R Series,1,set,12000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,3589.41450296931,3.58941450296931,已計算,"Total(TWD) 12,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10010,SMT 自動化生產線,0,Yamaha YSM20R Series,5,set,60000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,17947.0725148466,17.9470725148466,已計算,"Total(TWD) 60,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10011,無塵室高效濾網組,0,HEPA H14 Grade,5,set,2250000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.847657382488251,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,無塵室高效濾網組 HEPA H14 Grade machinery equipment capital goods,procurement_workbook,電子資通訊製造業,673.015219306746,0.673015219306746,已計算,"Total(TWD) 2,250,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10012,SMT 自動化生產線,0,Yamaha YSM20R Series,5,set,60000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,17947.0725148466,17.9470725148466,已計算,"Total(TWD) 60,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10013,SMT 自動化生產線,0,Yamaha YSM20R Series,2,set,24000000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.830435812473297,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,SMT 自動化生產線 Yamaha YSM20R Series machinery equipment capital goods,procurement_workbook,電子資通訊製造業,7178.82900593862,7.17882900593862,已計算,"Total(TWD) 24,000,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10014,無塵室高效濾網組,0,HEPA H14 Grade,3,set,1350000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.847657382488251,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,無塵室高效濾網組 HEPA H14 Grade machinery equipment capital goods,procurement_workbook,電子資通訊製造業,403.809131584048,0.403809131584048,已計算,"Total(TWD) 1,350,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 1 (Purchased Goods),EXP-10015,鋁合金機殼 (Al-Alloy),0,AL6061 Anodized,1282,kg,230760,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,AlMgSi0.5 (6060 and 6063),8.09467218,kg CO2e/kg ,Idemat,EU,2024,0.763589024543762,此為國際平均值，實際情況可能因地區而異,3,鋁合金機殼 (Al-Alloy) AL6061 Anodized,procurement_workbook,電子資通訊製造業,10377.36973476,10.37736973476,已計算,Qty 1282 kg -> 1282 kg; * factor
Category 1 (Purchased Goods),EXP-10016,積體電路 (IC) SOC,0,7nm Node / High Performance,1688,pcs,2110000,Spend-based Factor,IC,C-261 半導體製造業 (EEIO),0.000088,元,已匹配,係數對照表,0,係數對照表,C-261 半導體製造業 (EEIO),0.000088,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,積體電路 (IC) SOC 7nm Node / High Performance C-261 半導體製造業 (EEIO),procurement_workbook,電子資通訊製造業,185.68,0.18568,已計算,"Total(TWD) 2,110,000 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10017,MLCC 電容,0,0402 X7R 10uF,3640,pcs,546,Spend-based Factor,電容,C-262 電子零組件製造業 (EEIO),0.000114,元,已匹配,係數對照表,0,係數對照表,C-262 電子零組件製造業 (EEIO),0.000114,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,MLCC 電容 0402 X7R 10uF C-262 電子零組件製造業 (EEIO),procurement_workbook,電子資通訊製造業,0.062244,0.000062244,已計算,Total(TWD) 546 * kgCO2e/TWD
Category 1 (Purchased Goods),EXP-10018,鋰離子電池組,0.000088,5000mAh / 3.7V,4927,pcs,1034670,Spend-based Factor,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,電池感應式水龍頭(HB-4100LR),19.41,kg,Taiwan EPA,TW,2015,0.848494172096252,,3,鋰離子電池組 5000mAh / 3.7V,procurement_workbook,電子資通訊製造業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10019,積體電路 (IC) SOC,0.000114,7nm Node / High Performance,3026,pcs,3782500,Spend-based Factor,IC,C-261 半導體製造業 (EEIO),0.000088,元,已匹配,係數對照表,0,係數對照表,C-261 半導體製造業 (EEIO),0.000088,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,積體電路 (IC) SOC 7nm Node / High Performance C-261 半導體製造業 (EEIO),procurement_workbook,電子資通訊製造業,332.86,0.33286,已計算,"Total(TWD) 3,782,500 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10020,積體電路 (IC) SOC,0,7nm Node / High Performance,4252,pcs,5315000,Spend-based Factor,IC,C-261 半導體製造業 (EEIO),0.000088,元,已匹配,係數對照表,0,係數對照表,C-261 半導體製造業 (EEIO),0.000088,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,積體電路 (IC) SOC 7nm Node / High Performance C-261 半導體製造業 (EEIO),procurement_workbook,電子資通訊製造業,467.72,0.46772,已計算,"Total(TWD) 5,315,000 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10021,積體電路 (IC) SOC,0.000088,7nm Node / High Performance,2780,pcs,3475000,Spend-based Factor,IC,C-261 半導體製造業 (EEIO),0.000088,元,已匹配,係數對照表,0,係數對照表,C-261 半導體製造業 (EEIO),0.000088,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,積體電路 (IC) SOC 7nm Node / High Performance C-261 半導體製造業 (EEIO),procurement_workbook,電子資通訊製造業,305.8,0.3058,已計算,"Total(TWD) 3,475,000 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10022,鋰離子電池組,0.000088,5000mAh / 3.7V,3067,pcs,644070,Spend-based Factor,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,電池感應式水龍頭(HB-4100LR),19.41,kg,Taiwan EPA,TW,2015,0.848494172096252,,3,鋰離子電池組 5000mAh / 3.7V,procurement_workbook,電子資通訊製造業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10023,積體電路 (IC) SOC,0.000088,7nm Node / High Performance,1335,pcs,1668750,Spend-based Factor,IC,C-261 半導體製造業 (EEIO),0.000088,元,已匹配,係數對照表,0,係數對照表,C-261 半導體製造業 (EEIO),0.000088,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,積體電路 (IC) SOC 7nm Node / High Performance C-261 半導體製造業 (EEIO),procurement_workbook,電子資通訊製造業,146.85,0.14685,已計算,"Total(TWD) 1,668,750 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10024,鋰離子電池組,0,5000mAh / 3.7V,3473,pcs,729330,Spend-based Factor,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,電池感應式水龍頭(HB-4100LR),19.41,kg,Taiwan EPA,TW,2015,0.848494172096252,,3,鋰離子電池組 5000mAh / 3.7V,procurement_workbook,電子資通訊製造業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10025,鋰離子電池組,0.000088,5000mAh / 3.7V,3028,pcs,635880,Spend-based Factor,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,電池感應式水龍頭(HB-4100LR),19.41,kg,Taiwan EPA,TW,2015,0.848494172096252,,3,鋰離子電池組 5000mAh / 3.7V,procurement_workbook,電子資通訊製造業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10026,鋰離子電池組,0,5000mAh / 3.7V,1650,pcs,346500,Spend-based Factor,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,電池感應式水龍頭(HB-4100LR),19.41,kg,Taiwan EPA,TW,2015,0.848494172096252,,3,鋰離子電池組 5000mAh / 3.7V,procurement_workbook,電子資通訊製造業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10027,印刷電路板 (PCB),0,FR-4 8-Layer / Halogen Free,4233,m2,14392200,Spend-based Factor,PCB,C-262 電子零組件製造業 (EEIO),0.000114,元,已匹配,係數對照表,0,係數對照表,C-262 電子零組件製造業 (EEIO),0.000114,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,印刷電路板 (PCB) FR-4 8-Layer / Halogen Free C-262 電子零組件製造業 (EEIO),procurement_workbook,電子資通訊製造業,1640.7108,1.6407108,已計算,"Total(TWD) 14,392,200 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10028,印刷電路板 (PCB),0,FR-4 8-Layer / Halogen Free,902,m2,3066800,Spend-based Factor,PCB,C-262 電子零組件製造業 (EEIO),0.000114,元,已匹配,係數對照表,0,係數對照表,C-262 電子零組件製造業 (EEIO),0.000114,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,印刷電路板 (PCB) FR-4 8-Layer / Halogen Free C-262 電子零組件製造業 (EEIO),procurement_workbook,電子資通訊製造業,349.6152,0.3496152,已計算,"Total(TWD) 3,066,800 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10029,MLCC 電容,0.000114,0402 X7R 10uF,3184,pcs,478,Spend-based Factor,電容,C-262 電子零組件製造業 (EEIO),0.000114,元,已匹配,係數對照表,0,係數對照表,C-262 電子零組件製造業 (EEIO),0.000114,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,MLCC 電容 0402 X7R 10uF C-262 電子零組件製造業 (EEIO),procurement_workbook,電子資通訊製造業,0.054492,0.000054492,已計算,Total(TWD) 478 * kgCO2e/TWD
Category 1 (Purchased Goods),EXP-10030,鋁合金機殼 (Al-Alloy),0.000114,AL6061 Anodized,4537,kg,816660,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,AlMgSi0.5 (6060 and 6063),8.09467218,kg CO2e/kg ,Idemat,EU,2024,0.763589024543762,此為國際平均值，實際情況可能因地區而異,3,鋁合金機殼 (Al-Alloy) AL6061 Anodized,procurement_workbook,電子資通訊製造業,36725.52768066,36.72552768066,已計算,Qty 4537 kg -> 4537 kg; * factor
Category 1 (Purchased Goods),EXP-10031,鋁合金機殼 (Al-Alloy),0.000114,AL6061 Anodized,1825,kg,328500,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,AlMgSi0.5 (6060 and 6063),8.09467218,kg CO2e/kg ,Idemat,EU,2024,0.763589024543762,此為國際平均值，實際情況可能因地區而異,3,鋁合金機殼 (Al-Alloy) AL6061 Anodized,procurement_workbook,電子資通訊製造業,14772.7767285,14.7727767285,已計算,Qty 1825 kg -> 1825 kg; * factor
Category 1 (Purchased Goods),EXP-10032,鋁合金機殼 (Al-Alloy),0,AL6061 Anodized,4594,kg,826920,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,AlMgSi0.5 (6060 and 6063),8.09467218,kg CO2e/kg ,Idemat,EU,2024,0.763589024543762,此為國際平均值，實際情況可能因地區而異,3,鋁合金機殼 (Al-Alloy) AL6061 Anodized,procurement_workbook,電子資通訊製造業,37186.92399492,37.18692399492,已計算,Qty 4594 kg -> 4594 kg; * factor
Category 1 (Purchased Goods),EXP-10033,鋁合金機殼 (Al-Alloy),0,AL6061 Anodized,4799,kg,863820,WBCSD Material Method,,,,,已匹配,標準門檻,2,Tier 2 - 國際產業,AlMgSi0.5 (6060 and 6063),8.09467218,kg CO2e/kg ,Idemat,EU,2024,0.763589024543762,此為國際平均值，實際情況可能因地區而異,3,鋁合金機殼 (Al-Alloy) AL6061 Anodized,procurement_workbook,電子資通訊製造業,38846.33179182,38.84633179182,已計算,Qty 4799 kg -> 4799 kg; * factor
Category 1 (Purchased Goods),EXP-10034,MLCC 電容,0,0402 X7R 10uF,2832,pcs,425,Spend-based Factor,電容,C-262 電子零組件製造業 (EEIO),0.000114,元,已匹配,係數對照表,0,係數對照表,C-262 電子零組件製造業 (EEIO),0.000114,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,MLCC 電容 0402 X7R 10uF C-262 電子零組件製造業 (EEIO),procurement_workbook,電子資通訊製造業,0.04845,0.00004845,已計算,Total(TWD) 425 * kgCO2e/TWD
Category 1 (Purchased Goods),EXP-10035,MLCC 電容,0,0402 X7R 10uF,3377,pcs,507,Spend-based Factor,電容,C-262 電子零組件製造業 (EEIO),0.000114,元,已匹配,係數對照表,0,係數對照表,C-262 電子零組件製造業 (EEIO),0.000114,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,MLCC 電容 0402 X7R 10uF C-262 電子零組件製造業 (EEIO),procurement_workbook,電子資通訊製造業,0.057798,0.000057798,已計算,Total(TWD) 507 * kgCO2e/TWD
Category 1 (Purchased Goods),EXP-10036,積體電路 (IC) SOC,0.000114,7nm Node / High Performance,4419,pcs,5523750,Spend-based Factor,IC,C-261 半導體製造業 (EEIO),0.000088,元,已匹配,係數對照表,0,係數對照表,C-261 半導體製造業 (EEIO),0.000088,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,積體電路 (IC) SOC 7nm Node / High Performance C-261 半導體製造業 (EEIO),procurement_workbook,電子資通訊製造業,486.09,0.48609,已計算,"Total(TWD) 5,523,750 * kgCO2e/TWD"
Category 1 (Purchased Goods),EXP-10037,鋰離子電池組,0.000114,5000mAh / 3.7V,4562,pcs,958020,Spend-based Factor,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,電池感應式水龍頭(HB-4100LR),19.41,kg,Taiwan EPA,TW,2015,0.848494172096252,,3,鋰離子電池組 5000mAh / 3.7V,procurement_workbook,電子資通訊製造業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10038,鋰離子電池組,0.000088,5000mAh / 3.7V,1343,pcs,282030,Spend-based Factor,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,電池感應式水龍頭(HB-4100LR),19.41,kg,Taiwan EPA,TW,2015,0.848494172096252,,3,鋰離子電池組 5000mAh / 3.7V,procurement_workbook,電子資通訊製造業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10039,印刷電路板 (PCB),0,FR-4 8-Layer / Halogen Free,1041,m2,3539400,Spend-based Factor,PCB,C-262 電子零組件製造業 (EEIO),0.000114,元,已匹配,係數對照表,0,係數對照表,C-262 電子零組件製造業 (EEIO),0.000114,元,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,印刷電路板 (PCB) FR-4 8-Layer / Halogen Free C-262 電子零組件製造業 (EEIO),procurement_workbook,電子資通訊製造業,403.4916,0.4034916,已計算,"Total(TWD) 3,539,400 * kgCO2e/TWD"
