Process,Category,EF3.1,kg CO2e
"Lamb, conventional, indoor production system, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,1.811,15.83
"Lamb, conventional, Roquefort system, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.579,4.29
"Seaweed non-optimized production, 1kg algae (Laminaria), fresh weight {FR} U",Agricultural\Plant production\Other\Transformation,0.123,0.84
"Optimized seaweed production, 1kg algae (Laminaria), fresh weight {FR} U",Agricultural\Plant production\Other\Transformation,0.012,0.1
"Pineapple, mixed production, Reunion Island average, at production site {RE} U",Agricultural\Plant production\Fruits\Transformation,0.094,0.87
"European Anchovy, ECA, Seine, average, at landing {MA} U",Agricultural\Animal production\Fish\Transformation,0.091,0.44
"Oat grain, national average, animal feed, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.08,0.55
"Banana, mixed production, West Indies, at farm gate {WI} U",Agricultural\Plant production\Fruits\Transformation,0.05,0.22
"Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U",Agricultural\Animal production\Fish\Transformation,0.752,4.77
"Beetroot for juice, conventional, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.022,0.08
"Sugar beet roots, conventional, national average, animal feed, at farm gate, production {FR} U",Agricultural\Plant production\Roots and tubers\Transformation,0.006,0.04
"Durum wheat grain, conventional, national average, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.101,0.72
"Soft wheat grain, conventional, protein improved quality, 15% moisture, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.091,0.64
"Soft wheat grain, conventional, national average, animal feed, at farm gate, production {FR} U",Agricultural\Plant production\Cereals\Transformation,0.066,0.47
"Soft wheat grain, conventional, breadmaking quality, 15% moisture, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.066,0.47
"Soft wheat grain, systematic cover cropping scenario, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.062,0.44
"Soft wheat grain, protein crop scenario, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.06,0.43
"Soft wheat grain, basis scenario without lever,at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.062,0.44
"Beef cattle, national average, at farm gate {FR} U",Agricultural\Animal production\Bovine\Transformation,1.302,13.55
"Cull ewe, conventional, indoor production system, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,1.851,17.68
"Cull ewe, conventional, Roquefort system, at farm gate {FR} U",Agricultural\Animal production\Ovine\Transformation,0.958,6.65
"Duck for roasting, conventional, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.554,3.44
"Fattening duck, conventional, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.727,4.39
"Carrot, conventional, national average, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.027,0.07
"Carrot, conventional, fall, Creances, Lower Normandie, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.01,0.05
"Carrot, conventional, fall, Mont St. Michel, Lower Normandie, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.008,0.05
"Carrot, conventional, fall, Val de Saire, Lower Normandie, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.008,0.05
"Carrot, conventional, main season, Aquitaine, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.029,0.05
"Carrot, conventional, winter, Aquitaine, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.024,0.06
"Carrot, conventional, winter, Creances, Lower Normandie, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.037,0.12
"Carrot, conventional, winter, Mont St. Michel, Lower Normandie, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.011,0.06
"Carrot, conventional, winter, Val de Saire, Lower Normandie, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.01,0.06
"Carrot, conventional, early, Aquitaine, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.037,0.08
"Cherry, conventional, national average, at orchard {FR} U",Agricultural\Plant production\Fruits\Transformation,0.353,0.43
"Hemp, straw, ret, Champagne, at farm gate {FR} U",Agricultural\Plant production\Cereals\Transformation,0.03,0.15
"Kid goat, conventional, intensive forage area, at farm gate {FR} U",Agricultural\Animal production\Caprine\Transformation,0.376,2.55
"Cull goat, conventional, intensive forage area, at farm gate {FR} U",Agricultural\Animal production\Caprine\Transformation,1.251,7.57
"Chicory witloof, season, conventional, refrigerant loss 300%, storage and forcing, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.044,0.85
"Cauliflower, summer, conventional, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.032,0.22
"Cauliflower, winter, conventional, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.036,0.26
"Cauliflower, conventional, national average, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.036,0.26
"Cauliflower, national average, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.036,0.26
"Cauliflower, winter, conventional, with previous crop seeded under clover, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.032,0.2
"Cauliflower, winter, conventional, N management with Pilazo and electrical harvesting assistance, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.028,0.16
"Cauliflower, winter, conventional, N management with Pilazo and use of electric tractor, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.043,0.21
"Cauliflower, winter, conventional, nitrogen management with decision support tool Pilazo at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.029,0.17
"Cauliflower, winter, conventional, with harvesting electrical assistance, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.036,0.23
"Cauliflower, winter, conventional, replacement of part of mineral nitrogen by organic manure, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.043,0.21
"Clementine, export quality, Souss, at orchard {MA} U",Agricultural\Plant production\Fruits\Transformation,0.199,0.3
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate, production {FR} U",Agricultural\Plant production\Oil seeds\Transformation,0.16,1.3
"Rapeseed, systematic covercropping scenario, at farm gate {FR} U",Agricultural\Plant production\Oil seeds\Transformation,0.133,0.9
"Rapeseed, protein crop scenario, at farm gate {FR} U",Agricultural\Plant production\Oil seeds\Transformation,0.138,0.91
"Rapeseed, basis scenario without lever, at farm gate {FR} U",Agricultural\Plant production\Oil seeds\Transformation,0.137,0.91
"Great Scallop, BSBrieuc, Dredge, average, at landing {FR} U",Agricultural\Animal production\Fish\Transformation,0.132,0.67
"Zucchini, autumn, under tunnel, conventional, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.063,0.3
"Zucchini, conventional, national average, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.039,0.16
"Zucchini, open field, conventional, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.036,0.13
"Zucchini, springtime, under tunnel, conventionel, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.04,0.17
"Zucchini, national average, at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.039,0.16
"Turkey, conventional, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.558,4.07
"Turkey, Label Rouge, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.817,5.66
"Turkey, national average, at farm gate {FR} U",Agricultural\Animal production\Avian\Transformation,0.566,4.11
"Chicory witloof, conventional, national average at farm gate {FR} U",Agricultural\Plant production\Vegetables\Transformation,0.06,0.39
