description,ghg_category,scenario,industry,item_type,amount,language
購買有機 糖 9319 tons,1,raw_materials,Food & Beverage,Agricultural,520899.59,zh
購置 CNC 機床 (industrial grade),2,equipment,IT Infrastructure,Hardware,7646796.07,zh
新建 配送中心開發專案,2,equipment,Real Estate,Building,266146537.28,zh
建造 配送中心 (40253 平方公尺),2,equipment,Real Estate,Building,450810901.48,zh
Analytics SaaS 訂閱 (1969 使用者),1,services,IT Services,Software,62359.45,zh
載貨車輛採購 (industrial grade),2,equipment,Transportation,Vehicle,23977073.65,zh
雲端 法律服務 - quarterly合約,1,services,IT Services,Software,986504.27,zh
採購 乙醇 溶劑 8343 liters,1,raw_materials,Manufacturing,Chemical,804887.41,zh
建造 辦公大樓 (35196 平方公尺),2,equipment,Real Estate,Building,271507886.65,zh
Collaboration SaaS 訂閱 (807 使用者),1,services,IT Services,Software,581700.07,zh
工業用 射出成型機 (9808 台) 含安裝,2,equipment,Manufacturing,Machinery,13811488.69,zh
ERP軟體訂閱 (1783 授權，annual),1,services,IT Services,Software,280537.68,zh
Analytics SaaS 訂閱 (5877 使用者),1,services,IT Services,Software,935626.13,zh
新建 製造廠開發專案,2,equipment,Real Estate,Building,380781786.37,zh
consumer goods製造產線 (產能 3415 件/日),2,equipment,Manufacturing,Production Line,61982310.7,zh
再生能源設施建設 (7271 MW),2,equipment,Energy,Power Generation,192575056.24,zh
採購 1432 kg 鈦金屬用於製造,1,raw_materials,Manufacturing,Metal,1746995.29,zh
IT 基礎設施升級 - 輸送系統 (4521 台),2,equipment,IT Infrastructure,Hardware,9994407.92,zh
採購 包裝機用於生產設施,2,equipment,Manufacturing,Machinery,20208919.05,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,247578.23,zh
購買工業用 丙酮 496 liters,1,raw_materials,Manufacturing,Chemical,754453.28,zh
採購 6503 tons 小麥作為食品原料,1,raw_materials,Food & Beverage,Agricultural,1339640.1,zh
聘請 管理顧問 (27 個月),1,services,Professional Services,Consulting,252619.21,zh
設施維護服務 (12 months),1,services,Facility Management,Maintenance,969133.94,zh
管理專業服務合約,1,services,Professional Services,Consulting,1900669.89,zh
購買有機 玉米 5867 tons,1,raw_materials,Food & Beverage,Agricultural,2553209.36,zh
倉庫大樓管理服務 (19 個月),1,services,Facility Management,Maintenance,685496.17,zh
IT 基礎設施升級 - CNC 機床 (3627 台),2,equipment,IT Infrastructure,Hardware,1650521.53,zh
製造廠建築合約 (工廠),2,equipment,Real Estate,Building,421126180.4,zh
建造 配送中心 (38703 平方公尺),2,equipment,Real Estate,Building,12279211.27,zh
總部大樓管理服務 (12 個月),1,services,Facility Management,Maintenance,950970.95,zh
工廠大樓管理服務 (13 個月),1,services,Facility Management,Maintenance,584436.92,zh
不鏽鋼原料採購 - 4021 kg,1,raw_materials,Manufacturing,Metal,476580.57,zh
聘請 管理顧問 (17 個月),1,services,Professional Services,Consulting,429485.87,zh
雲端 財務服務 - 12 months合約,1,services,IT Services,Software,262790.48,zh
聘請 法律顧問 (24 個月),1,services,Professional Services,Consulting,652653.49,zh
購置 射出成型機 - industrial grade,2,equipment,Manufacturing,Machinery,6162277.58,zh
管理諮詢服務 (12 months),1,services,Professional Services,Consulting,65656.34,zh
IT 基礎設施升級 - CNC 機床 (482 台),2,equipment,IT Infrastructure,Hardware,8709656.26,zh
採購 8712 tons 糖作為食品原料,1,raw_materials,Food & Beverage,Agricultural,767900.2,zh
購買 LED 模組 元件 3948 個,1,raw_materials,Electronics,Electronic Components,5645514.06,zh
採購 6888 kg 鈦金屬用於製造,1,raw_materials,Manufacturing,Metal,3077899.82,zh
聘請 IT顧問 (29 個月),1,services,Professional Services,Consulting,419447.81,zh
堆高機採購 (industrial grade),2,equipment,Transportation,Vehicle,6249500.49,zh
區域辦公室大樓管理服務 (18 個月),1,services,Facility Management,Maintenance,1153871.29,zh
法律專業服務合約,1,services,Professional Services,Consulting,60316.74,zh
太陽能板安裝 (容量 9194 kW),2,equipment,Energy,Power Generation,150414427.59,zh
ERP軟體訂閱 (5046 授權，quarterly),1,services,IT Services,Software,303771.11,zh
購買 不鏽鋼 8750 kg 供生產使用,1,raw_materials,Manufacturing,Metal,3230533.97,zh
再生能源設施建設 (3659 MW),2,equipment,Energy,Power Generation,158842102.26,zh
聘請 管理顧問 (36 個月),1,services,Professional Services,Consulting,666902.66,zh
新建 辦公大樓開發專案,2,equipment,Real Estate,Building,132250228.05,zh
採購 乙醇 溶劑 9522 liters,1,raw_materials,Manufacturing,Chemical,660050.43,zh
設施維護服務 (annual),1,services,Facility Management,Maintenance,526799.14,zh
永續專業服務合約,1,services,Professional Services,Consulting,1232107.26,zh
物流服務合約 - 區域線 (annual),1,logistics,Logistics,Freight,1171682.17,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,1495603.96,zh
採購 1059 個 LED 模組用於組裝,1,raw_materials,Electronics,Electronic Components,580795.94,zh
物流服務合約 - 東西線 (annual),1,logistics,Logistics,Freight,146767.25,zh
工業用 射出成型機 (1895 台) 含安裝,2,equipment,Manufacturing,Machinery,47943899.78,zh
CRM SaaS 訂閱 (2081 使用者),1,services,IT Services,Software,543894.69,zh
辦公場所清潔維護合約,1,services,Facility Management,Maintenance,821713.45,zh
採購 3116 個 電容用於組裝,1,raw_materials,Electronics,Electronic Components,5133774.04,zh
IT運輸服務 - 南北,1,logistics,Logistics,Freight,2776937.49,zh
永續諮詢服務 (annual),1,services,Professional Services,Consulting,338171.36,zh
consumer goods製造產線 (產能 9867 件/日),2,equipment,Manufacturing,Production Line,43610671.84,zh
購置 包裝機 - industrial grade,2,equipment,Manufacturing,Machinery,9925290.76,zh
購置 機械手臂 (industrial grade),2,equipment,IT Infrastructure,Hardware,1193999.88,zh
採購 253 kg 鋼板用於製造,1,raw_materials,Manufacturing,Metal,3892305.03,zh
購買工業用 乙醇 646 liters,1,raw_materials,Manufacturing,Chemical,773739.65,zh
採購 甲苯 溶劑 5077 liters,1,raw_materials,Manufacturing,Chemical,261027.55,zh
購買 PCB 電路板 元件 755 個,1,raw_materials,Electronics,Electronic Components,2101963.86,zh
冷凍倉儲租賃 (9658 立方公尺),1,logistics,Logistics,Warehousing,2905465.59,zh
consumer goods製造產線 (產能 5643 件/日),2,equipment,Manufacturing,Production Line,41723599.45,zh
設施維護服務 (annual),1,services,Facility Management,Maintenance,971653.56,zh
採購 1646 tons 大豆作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2986720.82,zh
採購 1529 台 包裝機用於資料中心,2,equipment,IT Infrastructure,Hardware,3073147.16,zh
聘請 永續顧問 (11 個月),1,services,Professional Services,Consulting,216945.28,zh
購買 微晶片 元件 7744 個,1,raw_materials,Electronics,Electronic Components,2659725.69,zh
CRM SaaS 訂閱 (3171 使用者),1,services,IT Services,Software,194760.46,zh
太陽能板安裝 (容量 3948 kW),2,equipment,Energy,Power Generation,123420972.69,zh
IT諮詢服務 (12 months),1,services,Professional Services,Consulting,1901292.5,zh
銅線原料採購 - 8571 kg,1,raw_materials,Manufacturing,Metal,2123572.12,zh
倉庫大樓管理服務 (26 個月),1,services,Facility Management,Maintenance,1427316.1,zh
購買 鈦金屬 5710 kg 供生產使用,1,raw_materials,Manufacturing,Metal,756404.3,zh
採購 3302 個 微晶片用於組裝,1,raw_materials,Electronics,Electronic Components,1010582.41,zh
採購 射出成型機用於生產設施,2,equipment,Manufacturing,Machinery,39101399.36,zh
IT 基礎設施升級 - 射出成型機 (6961 台),2,equipment,IT Infrastructure,Hardware,9928382.03,zh
automotive parts自動化組裝線,2,equipment,Manufacturing,Production Line,93670243.1,zh
購買 電容 元件 1025 個,1,raw_materials,Electronics,Electronic Components,7685436.46,zh
聘請 IT顧問 (32 個月),1,services,Professional Services,Consulting,377699.16,zh
購買有機 小麥 8059 tons,1,raw_materials,Food & Beverage,Agricultural,355143.95,zh
設施維護服務 (12 months),1,services,Facility Management,Maintenance,571918.83,zh
倉儲服務 (4247 平方公尺，annual),1,logistics,Logistics,Warehousing,1237378.98,zh
車隊採購 - 3375 輛 載貨車輛,2,equipment,Transportation,Vehicle,17116878.21,zh
採購 4478 個 LED 模組用於組裝,1,raw_materials,Electronics,Electronic Components,2394363.71,zh
新建 倉庫開發專案,2,equipment,Real Estate,Building,32276283.61,zh
