standard_id,source_file,source_sheet,source_row,source_type,query,expected_tier,expected_tier_name,expected_factor_name,expected_factor_value,expected_factor_unit,expected_factor_source,expected_scope3_category,expected_lifecycle_boundary,expected_lifecycle_stage,expected_quality_decision,expected_review_note
RB-00001,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,2,procurement_workbook,高壓反應釜 SUS316L / 5000L,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,Category 2 (Capital Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00002,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,3,procurement_workbook,高壓反應釜 SUS316L / 5000L,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,Category 2 (Capital Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00003,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,4,procurement_workbook,高壓反應釜 SUS316L / 5000L,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,Category 2 (Capital Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00004,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,5,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00005,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,6,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00006,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,7,procurement_workbook,高壓反應釜 SUS316L / 5000L,0,係數對照表,C-29 機械設備製造業 (EEIO),0.000185,元,Scope 3 Procurement Data.xlsx / 係數對照表,Category 2 (Capital Goods),,,,使用工作簿內係數對照表關鍵字直接匹配
RB-00007,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,8,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00008,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,9,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00009,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,10,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
RB-00010,/Users/sashachen/Library/Mobile Documents/com~apple~CloudDocs/論文與報告專區/範疇三相關/115範疇三排放源輔助系統/批次排放係數匹配結果/Scope 3 Procurement Data_化學與塑膠加-表格 1.csv,Scope 3 Procurement Data_化學與塑膠加,11,procurement_workbook,工業離心分離機 Vertical Batch / Explosion-Proof,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,Category 2 (Capital Goods),,,,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。
