description,ghg_category,scenario,industry,item_type,amount,language
商務差旅住宿預訂 (3137 晚),6,travel,Business Services,Accommodation,38959.76,zh
購買工業用 硫酸 298 liters,1,raw_materials,Manufacturing,Chemical,1002575.9,zh
電力供應合約 (12 months，9797 kWh),3,energy,Utilities,Electricity,1873370.59,zh
建造 辦公大樓 (20782 平方公尺),2,equipment,Real Estate,Building,373284820.87,zh
倉庫液化石油氣供應 (quarterly),3,energy,Utilities,Fuel,2637846.94,zh
採購電力 5578 度（台電）,3,energy,Utilities,Electricity,4862126.78,zh
再生能源設施建設 (9011 MW),2,equipment,Energy,Power Generation,35422981.7,zh
事業廢棄物清運處理 (annual),5,waste,Environmental Services,Waste Disposal,1128331.97,zh
採購 5168 kg 鋼板用於製造,1,raw_materials,Manufacturing,Metal,4245181.86,zh
天然氣供應合約 (3530 立方公尺),3,energy,Utilities,Fuel,432836.29,zh
聘請 IT顧問 (14 個月),1,services,Professional Services,Consulting,994789.59,zh
天然氣供應合約 (6018 立方公尺),3,energy,Utilities,Fuel,1279446.63,zh
汽油採購供車隊使用 (3861 公升),3,energy,Utilities,Fuel,2923294.1,zh
採購 3482 tons 大豆作為食品原料,1,raw_materials,Food & Beverage,Agricultural,2425181.35,zh
購買工業用 丙酮 7875 liters,1,raw_materials,Manufacturing,Chemical,1774741.1,zh
購買 銅線 312 kg 供生產使用,1,raw_materials,Manufacturing,Metal,868221.64,zh
太陽能板安裝 (容量 6905 kW),2,equipment,Energy,Power Generation,67484632.09,zh
購買工業用 乙醇 5784 liters,1,raw_materials,Manufacturing,Chemical,838894.68,zh
有害廢棄物處理合約 (2899 噸),5,waste,Environmental Services,Waste Disposal,457763.15,zh
商務差旅住宿預訂 (4922 晚),6,travel,Business Services,Accommodation,731424.96,zh
購買有機 玉米 1933 tons,1,raw_materials,Food & Beverage,Agricultural,2461879.84,zh
總部一般廢棄物清運服務,5,waste,Environmental Services,Waste Disposal,114804.25,zh
辦公室租賃 (21977 坪，區域辦公室),8,leased_assets,Real Estate,Office Lease,7082276.0,zh
工業用 CNC 機床 (7742 台) 含安裝,2,equipment,Manufacturing,Machinery,49552273.55,zh
員工交通津貼補助 (annual),7,commute,HR Services,Commute Allowance,1555982.24,zh
管理專業服務合約,1,services,Professional Services,Consulting,1551767.92,zh
再生能源電力採購 (4588 MWh),3,energy,Utilities,Electricity,2047253.97,zh
購置 輸送系統 (industrial grade),2,equipment,IT Infrastructure,Hardware,1655255.14,zh
太陽能板安裝 (容量 1638 kW),2,equipment,Energy,Power Generation,101507593.43,zh
購買 不鏽鋼 9585 kg 供生產使用,1,raw_materials,Manufacturing,Metal,4041731.61,zh
採購 1002 kg 鋼板用於製造,1,raw_materials,Manufacturing,Metal,1715150.03,zh
工業用 CNC 機床 (9388 台) 含安裝,2,equipment,Manufacturing,Machinery,27994691.42,zh
設施維護服務 (12 months),1,services,Facility Management,Maintenance,659378.91,zh
