Scope 3 Category,ERP ID,Item Name,自動匹配係數,Spec/Grade,Qty,Unit,Total (TWD),Mapping Hint,lookup_keyword,lookup_factor_name,lookup_factor_value,lookup_factor_unit,match_status,match_mode,matched_tier,matched_tier_name,matched_name,matched_emission_factor,matched_unit,matched_source,matched_region,matched_base_year,matched_similarity,match_warning,candidate_count,query_text,source_type,source_sheet,calculated_co2e_kg,calculated_co2e_t,calculation_status,calculation_basis
Category 2 (Capital Goods),ASSET-10000,商用大型冷凍櫃,未匹配，請手動確認,Energy Star 4.0 / R290,4,unit,500000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,149.558937623721,0.149558937623721,已計算,"Total(TWD) 500,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10001,商用大型冷凍櫃,0,Energy Star 4.0 / R290,2,unit,250000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,74.7794688118607,0.0747794688118607,已計算,"Total(TWD) 250,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10002,商用大型冷凍櫃,0,Energy Star 4.0 / R290,3,unit,375000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,112.169203217791,0.112169203217791,已計算,"Total(TWD) 375,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10003,AI 智能自動點餐機,0,27-inch Touch / NFC,3,set,204000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.793369889259338,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,AI 智能自動點餐機 27-inch Touch / NFC machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,61.0200465504783,0.0610200465504783,已計算,"Total(TWD) 204,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10004,商用大型冷凍櫃,0,Energy Star 4.0 / R290,3,unit,375000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,112.169203217791,0.112169203217791,已計算,"Total(TWD) 375,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10005,商用大型冷凍櫃,0,Energy Star 4.0 / R290,3,unit,375000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,112.169203217791,0.112169203217791,已計算,"Total(TWD) 375,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10006,商用大型冷凍櫃,0,Energy Star 4.0 / R290,3,unit,375000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,112.169203217791,0.112169203217791,已計算,"Total(TWD) 375,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10007,商用大型冷凍櫃,0,Energy Star 4.0 / R290,1,unit,125000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,37.3897344059303,0.0373897344059303,已計算,"Total(TWD) 125,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10008,商用大型冷凍櫃,0,Energy Star 4.0 / R290,2,unit,250000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,74.7794688118607,0.0747794688118607,已計算,"Total(TWD) 250,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10009,AI 智能自動點餐機,0,27-inch Touch / NFC,5,set,340000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.793369889259338,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,AI 智能自動點餐機 27-inch Touch / NFC machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,101.70007758413,0.10170007758413,已計算,"Total(TWD) 340,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10010,AI 智能自動點餐機,0,27-inch Touch / NFC,4,set,272000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.793369889259338,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,AI 智能自動點餐機 27-inch Touch / NFC machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,81.3600620673044,0.0813600620673044,已計算,"Total(TWD) 272,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10011,AI 智能自動點餐機,0,27-inch Touch / NFC,2,set,136000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.793369889259338,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,AI 智能自動點餐機 27-inch Touch / NFC machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,40.6800310336522,0.0406800310336522,已計算,"Total(TWD) 136,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10012,AI 智能自動點餐機,0,27-inch Touch / NFC,4,set,272000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.793369889259338,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,AI 智能自動點餐機 27-inch Touch / NFC machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,81.3600620673044,0.0813600620673044,已計算,"Total(TWD) 272,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10013,商用大型冷凍櫃,0,Energy Star 4.0 / R290,3,unit,375000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,112.169203217791,0.112169203217791,已計算,"Total(TWD) 375,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 2 (Capital Goods),ASSET-10014,商用大型冷凍櫃,0,Energy Star 4.0 / R290,4,unit,500000,EPA/EEIO Asset Method,,,,,已匹配,標準門檻,3,Tier 3 - EEIO 模型,Machinery and equipment n.e.c. (29),10469.1256336605,kg CO2e/M.EUR,EXIOBASE,台灣,2022,0.854302763938904,資本財/設備類批次資料優先採用 EEIO 產業平均；建議人工覆核。,3,商用大型冷凍櫃 Energy Star 4.0 / R290 machinery equipment capital goods,procurement_workbook,連鎖餐飲與零售業,149.558937623721,0.149558937623721,已計算,"Total(TWD) 500,000 / 35 / 1,000,000 * kgCO2e/M.EUR"
Category 1 (Purchased Goods),EXP-10015,澳洲進口牛肉 (板腱),0,Chilled / Grade A,4812,kg,2165400,WBCSD Material Method,牛肉,農畜產品-去骨生鮮牛肉,28.5,kg,已匹配,係數對照表,0,係數對照表,農畜產品-去骨生鮮牛肉,28.5,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,澳洲進口牛肉 (板腱) Chilled / Grade A 農畜產品-去骨生鮮牛肉,procurement_workbook,連鎖餐飲與零售業,137142,137.142,已計算,Qty 4812 kg -> 4812 kg; * factor
Category 1 (Purchased Goods),EXP-10016,澳洲進口牛肉 (板腱),0,Chilled / Grade A,2973,kg,1337850,WBCSD Material Method,牛肉,農畜產品-去骨生鮮牛肉,28.5,kg,已匹配,係數對照表,0,係數對照表,農畜產品-去骨生鮮牛肉,28.5,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,澳洲進口牛肉 (板腱) Chilled / Grade A 農畜產品-去骨生鮮牛肉,procurement_workbook,連鎖餐飲與零售業,84730.5,84.7305,已計算,Qty 2973 kg -> 2973 kg; * factor
Category 1 (Purchased Goods),EXP-10017,澳洲進口牛肉 (板腱),0,Chilled / Grade A,2351,kg,1057950,WBCSD Material Method,牛肉,農畜產品-去骨生鮮牛肉,28.5,kg,已匹配,係數對照表,0,係數對照表,農畜產品-去骨生鮮牛肉,28.5,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,澳洲進口牛肉 (板腱) Chilled / Grade A 農畜產品-去骨生鮮牛肉,procurement_workbook,連鎖餐飲與零售業,67003.5,67.0035,已計算,Qty 2351 kg -> 2351 kg; * factor
Category 1 (Purchased Goods),EXP-10018,瓦楞紙外箱,0,AB-Flute / Double Wall,3126,pcs,56268,Spend-based Factor,瓦楞,紙製品-瓦楞紙箱,0.82,kg,已匹配,係數對照表,0,係數對照表,紙製品-瓦楞紙箱,0.82,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,瓦楞紙外箱 AB-Flute / Double Wall 紙製品-瓦楞紙箱,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10019,PET 瓶裝水 (500ml),0,Recyclable PET / rPET 25%,3385,ctn,406200,Spend-based Factor,PET,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,已匹配,係數對照表,0,係數對照表,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,PET 瓶裝水 (500ml) Recyclable PET / rPET 25% 塑膠原料-聚乙烯對苯二甲酸酯,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=ctn, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10020,澳洲進口牛肉 (板腱),0.82,Chilled / Grade A,420,kg,189000,WBCSD Material Method,牛肉,農畜產品-去骨生鮮牛肉,28.5,kg,已匹配,係數對照表,0,係數對照表,農畜產品-去骨生鮮牛肉,28.5,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,澳洲進口牛肉 (板腱) Chilled / Grade A 農畜產品-去骨生鮮牛肉,procurement_workbook,連鎖餐飲與零售業,11970,11.97,已計算,Qty 420 kg -> 420 kg; * factor
Category 1 (Purchased Goods),EXP-10021,PET 瓶裝水 (500ml),2.15,Recyclable PET / rPET 25%,2591,ctn,310920,Spend-based Factor,PET,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,已匹配,係數對照表,0,係數對照表,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,PET 瓶裝水 (500ml) Recyclable PET / rPET 25% 塑膠原料-聚乙烯對苯二甲酸酯,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=ctn, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10022,澳洲進口牛肉 (板腱),0,Chilled / Grade A,4581,kg,2061450,WBCSD Material Method,牛肉,農畜產品-去骨生鮮牛肉,28.5,kg,已匹配,係數對照表,0,係數對照表,農畜產品-去骨生鮮牛肉,28.5,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,澳洲進口牛肉 (板腱) Chilled / Grade A 農畜產品-去骨生鮮牛肉,procurement_workbook,連鎖餐飲與零售業,130558.5,130.5585,已計算,Qty 4581 kg -> 4581 kg; * factor
Category 1 (Purchased Goods),EXP-10023,有機蔬菜組 (契作),2.15,Mixed Leafy / GAP Cert.,3754,kg,319090,WBCSD Material Method,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,有機三星蔥,0.558,kg,Taiwan EPA,TW,2017,0.803974390029907,,1,有機蔬菜組 (契作) Mixed Leafy / GAP Cert.,procurement_workbook,連鎖餐飲與零售業,2094.732,2.094732,已計算,Qty 3754 kg -> 3754 kg; * factor
Category 1 (Purchased Goods),EXP-10024,瓦楞紙外箱,0,AB-Flute / Double Wall,1648,pcs,29664,Spend-based Factor,瓦楞,紙製品-瓦楞紙箱,0.82,kg,已匹配,係數對照表,0,係數對照表,紙製品-瓦楞紙箱,0.82,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,瓦楞紙外箱 AB-Flute / Double Wall 紙製品-瓦楞紙箱,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10025,PET 瓶裝水 (500ml),0,Recyclable PET / rPET 25%,2433,ctn,291960,Spend-based Factor,PET,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,已匹配,係數對照表,0,係數對照表,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,PET 瓶裝水 (500ml) Recyclable PET / rPET 25% 塑膠原料-聚乙烯對苯二甲酸酯,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=ctn, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10026,PET 瓶裝水 (500ml),0.82,Recyclable PET / rPET 25%,4167,ctn,500040,Spend-based Factor,PET,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,已匹配,係數對照表,0,係數對照表,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,PET 瓶裝水 (500ml) Recyclable PET / rPET 25% 塑膠原料-聚乙烯對苯二甲酸酯,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=ctn, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10027,澳洲進口牛肉 (板腱),2.15,Chilled / Grade A,2633,kg,1184850,WBCSD Material Method,牛肉,農畜產品-去骨生鮮牛肉,28.5,kg,已匹配,係數對照表,0,係數對照表,農畜產品-去骨生鮮牛肉,28.5,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,澳洲進口牛肉 (板腱) Chilled / Grade A 農畜產品-去骨生鮮牛肉,procurement_workbook,連鎖餐飲與零售業,75040.5,75.0405,已計算,Qty 2633 kg -> 2633 kg; * factor
Category 1 (Purchased Goods),EXP-10028,有機蔬菜組 (契作),2.15,Mixed Leafy / GAP Cert.,2542,kg,216070,WBCSD Material Method,,,,,已匹配,標準門檻,1,Tier 1 - 台灣本地,有機三星蔥,0.558,kg,Taiwan EPA,TW,2017,0.803974390029907,,1,有機蔬菜組 (契作) Mixed Leafy / GAP Cert.,procurement_workbook,連鎖餐飲與零售業,1418.436,1.418436,已計算,Qty 2542 kg -> 2542 kg; * factor
Category 1 (Purchased Goods),EXP-10029,PET 瓶裝水 (500ml),0,Recyclable PET / rPET 25%,3358,ctn,402960,Spend-based Factor,PET,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,已匹配,係數對照表,0,係數對照表,塑膠原料-聚乙烯對苯二甲酸酯,2.15,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,PET 瓶裝水 (500ml) Recyclable PET / rPET 25% 塑膠原料-聚乙烯對苯二甲酸酯,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=ctn, factor_unit=kg"
Category 1 (Purchased Goods),EXP-10030,瓦楞紙外箱,0,AB-Flute / Double Wall,1864,pcs,33552,Spend-based Factor,瓦楞,紙製品-瓦楞紙箱,0.82,kg,已匹配,係數對照表,0,係數對照表,紙製品-瓦楞紙箱,0.82,kg,Scope 3 Procurement Data.xlsx / 係數對照表,TW,,1,使用工作簿內係數對照表關鍵字直接匹配,1,瓦楞紙外箱 AB-Flute / Double Wall 紙製品-瓦楞紙箱,procurement_workbook,連鎖餐飲與零售業,,,待人工確認,"無可用數量/金額或單位不相容: source=pcs, factor_unit=kg"
